광역시도,기초지자체,배출연도,배출월,배출일,배출량(g),배출횟수
경기도,수원시영통구,2024,1,31,38944800,23795
경기도,수원시장안구,2024,1,1,26096050,15267
경기도,수원시장안구,2024,1,2,23131400,13937
경기도,수원시장안구,2024,1,3,22185600,14050
경기도,수원시장안구,2024,1,4,22866800,14956
경기도,수원시장안구,2024,1,5,19586750,12868
경기도,수원시장안구,2024,1,6,21747300,13395
경기도,수원시장안구,2024,1,7,27474800,16278
경기도,수원시장안구,2024,1,8,22190000,13905
경기도,수원시장안구,2024,1,9,22017250,12389
경기도,수원시장안구,2024,1,10,23085200,14740
경기도,수원시장안구,2024,1,11,22745400,14809
경기도,수원시장안구,2024,1,12,18973250,12661
경기도,수원시장안구,2024,1,13,20776850,12974
경기도,수원시장안구,2024,1,14,26348050,15759
경기도,수원시장안구,2024,1,15,22500050,14020
경기도,수원시장안구,2024,1,16,20919000,13605
경기도,수원시장안구,2024,1,17,19772150,13042
경기도,수원시장안구,2024,1,18,24128250,15679
경기도,수원시장안구,2024,1,19,19201050,12811
경기도,수원시장안구,2024,1,20,19319600,12203
경기도,수원시장안구,2024,1,21,28492900,16975
경기도,수원시장안구,2024,1,22,19745800,12568
경기도,수원시장안구,2024,1,23,20267500,11637
경기도,수원시장안구,2024,1,24,20851050,13534
경기도,수원시장안구,2024,1,25,21094700,13894
경기도,수원시장안구,2024,1,26,18201050,12245
경기도,수원시장안구,2024,1,27,19616050,12411
경기도,수원시장안구,2024,1,28,26721750,16168
경기도,수원시장안구,2024,1,29,21556300,13820
경기도,수원시장안구,2024,1,30,20524550,13258
경기도,수원시장안구,2024,1,31,21249300,14086
경기도,수원시팔달구,2024,1,1,16897450,10342
경기도,수원시팔달구,2024,1,2,12679450,8143
경기도,수원시팔달구,2024,1,3,12353250,8160
경기도,수원시팔달구,2024,1,4,12939450,8661
경기도,수원시팔달구,2024,1,5,11438600,7778
경기도,수원시팔달구,2024,1,6,12765800,8294
경기도,수원시팔달구,2024,1,7,15087150,9547
경기도,수원시팔달구,2024,1,8,14422650,9279
경기도,수원시팔달구,2024,1,9,11102550,7340
경기도,수원시팔달구,2024,1,10,13080150,8797
경기도,수원시팔달구,2024,1,11,11999200,8308
경기도,수원시팔달구,2024,1,12,11014200,7587
경기도,수원시팔달구,2024,1,13,12245700,8160
경기도,수원시팔달구,2024,1,14,14555300,9261
경기도,수원시팔달구,2024,1,15,13813650,9092
경기도,수원시팔달구,2024,1,16,11736250,8040
경기도,수원시팔달구,2024,1,17,10901300,7476
경기도,수원시팔달구,2024,1,18,12904050,8737
경기도,수원시팔달구,2024,1,19,11291800,7836
경기도,수원시팔달구,2024,1,20,11594900,7545
경기도,수원시팔달구,2024,1,21,15635750,9871
경기도,수원시팔달구,2024,1,22,12252250,8200
경기도,수원시팔달구,2024,1,23,9968250,6812
경기도,수원시팔달구,2024,1,24,11324050,7744
경기도,수원시팔달구,2024,1,25,10781350,7660
경기도,수원시팔달구,2024,1,26,10724950,7442
경기도,수원시팔달구,2024,1,27,11722800,7707
경기도,수원시팔달구,2024,1,28,14914800,9310
경기도,수원시팔달구,2024,1,29,13720550,9043
경기도,수원시팔달구,2024,1,30,11225300,7801
경기도,수원시팔달구,2024,1,31,12103600,8416
경기도,시흥시,2024,1,1,34397082,18785
경기도,시흥시,2024,1,2,29015099,16190
경기도,시흥시,2024,1,3,27043164,15817
경기도,시흥시,2024,1,4,26248080,15313
경기도,시흥시,2024,1,5,24963519,14793
경기도,시흥시,2024,1,6,26143386,14990
경기도,시흥시,2024,1,7,33100355,18338
경기도,시흥시,2024,1,8,28905601,16227
경기도,시흥시,2024,1,9,24299382,13959
경기도,시흥시,2024,1,10,27007173,16090
경기도,시흥시,2024,1,11,25104245,14894
경기도,시흥시,2024,1,12,24547041,14676
경기도,시흥시,2024,1,13,25854264,14957
경기도,시흥시,2024,1,14,32126987,17872
경기도,시흥시,2024,1,15,27652364,15803
경기도,시흥시,2024,1,16,25580611,15111
경기도,시흥시,2024,1,17,23024273,13724
경기도,시흥시,2024,1,18,27309589,16181
경기도,시흥시,2024,1,19,24728349,14760
경기도,시흥시,2024,1,20,24324773,14064
경기도,시흥시,2024,1,21,32699110,18480
경기도,시흥시,2024,1,22,24406971,14225
경기도,시흥시,2024,1,23,21286092,12798
경기도,시흥시,2024,1,24,24646892,14727
경기도,시흥시,2024,1,25,23859666,14264
경기도,시흥시,2024,1,26,24107640,14220
경기도,시흥시,2024,1,27,25312446,14564
경기도,시흥시,2024,1,28,31086451,17948
경기도,시흥시,2024,1,29,26179287,15069
경기도,시흥시,2024,1,30,24041337,14507
경기도,시흥시,2024,1,31,25189314,15265
경기도,안성시,2024,1,1,2222200,1149
경기도,안성시,2024,1,2,1971000,997
경기도,안성시,2024,1,3,1711050,887
경기도,안성시,2024,1,4,1701550,923
경기도,안성시,2024,1,5,1583950,898
